City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hay River,60.8156,-115.7999,39.18,60,47,11.5,CA,2021-10-03 15:44:01
1,Hay River,60.8156,-115.7999,39.18,60,47,11.5,CA,2021-10-03 15:44:01
2,Mar Del Plata,-38.0023,-57.5575,55.42,54,40,20.0,AR,2021-10-03 15:46:38
3,Katima Mulilo,-17.5,24.2667,88.86,20,83,4.5,NA,2021-10-03 15:46:38
4,Cabo San Lucas,22.8909,-109.9124,85.51,71,98,0.6,MX,2021-10-03 15:46:39
5,Busselton,-33.65,115.3333,47.08,61,98,2.17,AU,2021-10-03 15:46:39
6,Rikitea,-23.1203,-134.9692,73.08,64,6,17.31,PF,2021-10-03 15:46:39
7,Alofi,-19.0595,-169.9187,73.29,94,97,11.5,NU,2021-10-03 15:46:40
8,Marsa Matruh,31.3525,27.2453,77.2,50,20,11.5,EG,2021-10-03 15:46:40
9,Berlevag,70.8578,29.0864,51.8,77,90,33.42,NO,2021-10-03 15:46:40
10,Port Elizabeth,-33.918,25.5701,59.29,63,20,16.11,ZA,2021-10-03 15:46:41
11,Lebu,-37.6167,-73.65,52.83,67,32,21.61,CL,2021-10-03 15:46:41
12,Kysyl-Syr,63.8986,122.7617,27.5,73,16,2.46,RU,2021-10-03 15:46:41
13,Atuona,-9.8,-139.0333,77.14,73,66,18.03,PF,2021-10-03 15:46:42
14,Kearney,40.6995,-99.0815,65.19,36,1,5.68,US,2021-10-03 15:45:02
15,Punta Arenas,-53.15,-70.9167,48.31,57,20,31.07,CL,2021-10-03 15:42:26
16,Kamsack,51.5667,-101.9009,52.25,33,56,11.14,CA,2021-10-03 15:46:42
17,Upernavik,72.7868,-56.1549,33.33,62,100,3.31,GL,2021-10-03 15:46:35
18,Albany,42.6001,-73.9662,66.16,82,100,1.23,US,2021-10-03 15:46:43
19,Vaini,-21.2,-175.2,73.56,88,75,10.36,TO,2021-10-03 15:46:43
20,Beremend,45.7911,18.4326,76.75,41,35,7.52,HU,2021-10-03 15:46:43
21,Fairview,40.8126,-73.999,77.63,56,1,0.0,US,2021-10-03 15:46:44
22,Yumen,40.2833,97.2,45.09,33,98,13.27,CN,2021-10-03 15:46:44
23,Najran,17.4924,44.1277,88.45,29,82,3.15,SA,2021-10-03 15:46:44
24,Cherskiy,68.75,161.3,17.22,97,99,4.29,RU,2021-10-03 15:46:45
25,Puerto Ayora,-0.7393,-90.3518,72.1,78,56,11.03,EC,2021-10-03 15:46:36
